Category,Product name,SKU#,Unit price,Final Price,Profit Margin,Wholesale,Store Manager,POS,Buy Button Links
Water Bottle,The Iceberg (32 oz bottle) w. Ice Cap,BO-36,$23.99,$49.99,108.38%,TRUE,TRUE,TRUE,
Water Bottle,The Glacier (40 oz Bottle) w. Ice Cap,BO-46,$26.99,$64.99,140.79%,TRUE,TRUE,TRUE,
